Rk,Team,Date,,Opp,Result,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB
76,PHI,2023-04-02,@,TEX,L 1-2,36,33,1,9,7,2,0,0,0,0,0,3,8,.273,.333,.333,.667,11,3,0,0,0,0
77,CLE,2023-04-02,@,SEA,W 6-5 (10),42,37,6,9,5,3,0,1,4,1,1,5,6,.243,.333,.405,.739,15,1,0,0,0,1
78,SFG,2023-04-02,@,NYY,L 0-6,33,29,0,3,3,0,0,0,0,0,0,2,12,.103,.212,.103,.316,3,1,2,0,0,0
79,CHW,2023-04-02,@,HOU,W 6-3,45,40,6,13,4,7,0,2,6,1,0,3,7,.325,.400,.650,1.050,26,0,2,0,0,0
80,COL,2023-04-02,@,SDP,L 1-3,32,31,1,4,3,0,0,1,1,0,0,1,10,.129,.156,.226,.382,7,0,0,0,0,0
81,MIA,2023-04-02,,NYM,L 1-5,34,29,1,4,3,1,0,0,1,0,0,5,12,.138,.265,.172,.437,5,2,0,0,0,0
82,KCR,2023-04-02,,MIN,L 4-7,36,33,4,6,2,2,0,2,4,0,0,3,9,.182,.250,.424,.674,14,0,0,0,0,0
83,ARI,2023-04-02,@,LAD,W 2-1,34,33,2,9,7,2,0,0,2,4,0,0,6,.273,.294,.333,.627,11,2,1,0,0,0
84,BOS,2023-04-02,,BAL,W 9-5,43,38,9,14,11,2,0,1,9,1,0,4,7,.368,.429,.500,.929,19,0,0,1,0,0
85,ATL,2023-04-02,@,WSN,L 1-4,33,28,1,4,3,1,0,0,1,0,0,5,6,.143,.273,.179,.451,5,3,0,0,0,0
86,OAK,2023-04-02,,LAA,L 0-6,35,31,0,5,4,1,0,0,0,0,0,3,9,.161,.257,.194,.451,6,1,1,0,0,0
87,HOU,2023-04-02,,CHW,L 3-6,42,34,3,7,7,0,0,0,2,2,0,6,12,.206,.357,.206,.563,7,0,2,0,0,0
88,TBR,2023-04-02,,DET,W 5-1,35,32,5,8,5,2,0,1,4,2,0,2,4,.250,.314,.406,.721,13,0,1,0,0,0
89,NYM,2023-04-02,@,MIA,W 5-1,38,31,5,5,3,1,0,1,4,1,0,4,7,.161,.316,.290,.606,9,1,3,0,0,0
90,MIL,2023-04-02,@,CHC,W 9-5,46,37,9,13,10,2,1,0,9,0,0,6,10,.351,.413,.459,.873,17,0,0,0,3,0
91,CIN,2023-04-02,,PIT,W 3-1,35,32,3,9,5,2,0,2,3,0,0,3,6,.281,.343,.531,.874,17,0,0,0,0,1
92,DET,2023-04-02,@,TBR,L 1-5,30,29,1,2,1,0,0,1,1,0,0,1,14,.069,.100,.172,.272,5,0,0,0,0,0
93,BAL,2023-04-02,@,BOS,L 5-9,38,36,5,10,6,2,0,2,5,0,0,2,10,.278,.316,.500,.816,18,1,0,0,0,0
94,PIT,2023-04-02,@,CIN,L 1-3,34,33,1,6,4,1,0,1,1,1,0,1,7,.182,.206,.303,.509,10,0,0,0,0,0
95,WSN,2023-04-02,,ATL,W 4-1,33,27,4,6,5,1,0,0,4,0,1,5,4,.222,.333,.259,.593,7,1,0,0,1,0
96,TOR,2023-04-02,@,STL,L 4-9,37,35,4,10,7,3,0,0,4,1,0,1,6,.286,.297,.371,.669,13,1,0,0,1,0
97,TEX,2023-04-02,,PHI,W 2-1,30,30,2,8,6,1,0,1,2,0,1,0,6,.267,.267,.400,.667,12,0,0,0,0,0
98,LAD,2023-04-02,,ARI,L 1-2,36,31,1,4,3,0,0,1,1,1,0,4,11,.129,.250,.226,.476,7,0,1,0,0,0
99,NYY,2023-04-02,,SFG,W 6-0,36,29,6,7,4,0,0,3,5,2,1,5,6,.241,.361,.552,.913,16,0,1,0,1,0
100,CHC,2023-04-02,,MIL,L 5-9,38,33,5,9,6,1,0,2,5,1,1,4,8,.273,.342,.485,.827,16,1,0,0,1,0
101,LAA,2023-04-03,@,SEA,W 7-3,44,37,7,11,7,2,0,2,7,0,0,6,11,.297,.409,.514,.923,19,1,1,0,0,0
102,SFG,2023-04-03,@,CHW,W 12-3,48,40,12,14,6,1,0,7,12,1,0,8,9,.350,.458,.900,1.358,36,1,0,0,0,0
103,WSN,2023-04-03,,TBR,L 2-6,34,32,2,4,3,0,0,1,2,0,0,1,8,.125,.176,.219,.395,7,0,1,0,0,0
104,NYY,2023-04-03,,PHI,W 8-1,42,33,8,9,5,1,1,2,8,1,0,9,7,.273,.429,.545,.974,18,0,0,0,0,0
105,STL,2023-04-03,,ATL,L 4-8,42,39,4,12,11,0,0,1,4,0,0,3,6,.308,.357,.385,.742,15,0,0,0,0,0
106,ARI,2023-04-03,@,SDP,L 4-5,35,34,4,9,6,1,0,2,3,0,0,1,8,.265,.286,.471,.756,16,2,0,0,0,0
107,MIA,2023-04-03,,MIN,L 1-11,37,36,1,12,10,2,0,0,1,0,0,1,11,.333,.351,.389,.740,14,2,0,0,0,0
108,CLE,2023-04-03,@,OAK,W 12-11 (10),52,43,12,16,11,3,1,1,11,3,0,4,8,.372,.412,.558,.970,24,0,1,1,3,1
109,DET,2023-04-03,@,HOU,W 7-6 (11),45,41,7,9,7,0,0,2,7,0,1,4,11,.220,.289,.366,.655,15,0,0,0,0,0
