Rk,Team,Date,,Opp,Result,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB
14,TBR,2021-04-01,@,MIA,W 1-0,36,32,1,5,3,1,0,1,1,0,0,3,12,.156,.250,.281,.531,9,0,1,0,0,0
15,CIN,2021-04-01,,STL,L 6-11,42,34,6,10,5,3,0,2,5,0,0,5,8,.294,.390,.559,.949,19,0,1,1,1,0
16,NYY,2021-04-01,,TOR,L 2-3 (10),41,35,2,6,5,0,0,1,2,2,0,6,13,.171,.293,.257,.550,9,1,0,0,0,0
17,MIA,2021-04-01,,TBR,L 0-1,31,30,0,3,3,0,0,0,0,1,0,1,9,.100,.129,.100,.229,3,0,0,0,0,0
18,CLE,2021-04-01,@,DET,L 2-3,38,32,2,6,4,1,0,1,2,0,0,6,5,.188,.316,.313,.628,10,1,0,0,0,0
19,COL,2021-04-01,,LAD,W 8-5,39,35,8,11,9,1,1,0,5,2,1,3,4,.314,.368,.400,.768,14,0,0,1,0,0
20,DET,2021-04-01,,CLE,W 3-2,35,30,3,5,3,1,0,1,3,1,0,5,14,.167,.286,.300,.586,9,0,0,0,0,0
21,STL,2021-04-01,@,CIN,W 11-6,41,37,11,10,6,2,0,2,9,0,0,3,7,.270,.341,.486,.828,18,1,1,0,0,0
22,SDP,2021-04-01,,ARI,W 8-7,39,32,8,10,6,1,1,2,8,0,0,5,10,.313,.410,.594,1.004,19,1,1,0,1,0
23,OAK,2021-04-01,,HOU,L 1-8,35,30,1,6,4,2,0,0,1,1,0,3,10,.200,.286,.267,.552,8,2,1,0,1,0
24,MIN,2021-04-01,@,MIL,L 5-6 (10),47,39,5,10,6,2,1,1,4,1,0,7,17,.256,.370,.436,.805,17,0,0,1,0,0
25,SEA,2021-04-01,,SFG,W 8-7 (10),43,32,8,5,2,3,0,0,7,0,0,9,9,.156,.349,.250,.599,8,0,1,0,1,0
26,TOR,2021-04-01,@,NYY,W 3-2 (10),38,36,3,8,6,1,0,1,3,0,1,2,13,.222,.263,.333,.596,12,1,0,0,0,0
27,BOS,2021-04-02,,BAL,L 0-3,31,29,0,2,1,1,0,0,0,0,0,2,8,.069,.129,.103,.232,3,0,0,0,0,0
28,SFG,2021-04-02,@,SEA,W 6-3,39,35,6,8,5,1,0,2,6,1,0,4,13,.229,.308,.429,.736,15,0,0,0,0,0
29,SDP,2021-04-02,,ARI,W 4-2,36,28,4,9,5,3,0,1,4,0,2,7,8,.321,.444,.536,.980,15,1,0,0,1,0
30,COL,2021-04-02,,LAD,L 6-11,37,35,6,8,4,0,0,4,6,0,0,2,13,.229,.270,.571,.842,20,0,0,0,0,0
